CLASS_2021;CLASS_2020;CNPJ;Razão Social;Sede;Faturamento Bruto em 2020 (R$);Nº de lojas;Nº de check-outs;Área de venda;Nº de funcionários;Fat._CKT_ 2020;Fat._M2_2020;Fat._Func._2020;Func._CKT_2020;Func._M2_2020;CKT_Loja_2020;M2_CKT_2020;M2_Loja_2020;Fat._Loja_ 2020;
631;618;94.738.226/0001-38;V.R. COMÉRCIO DE ALIMENTOS LTDA.;RS;10.200.000;1;4;400;24;2.550.000;25.500;425.000;6;6;4;100;400;10.200.000;
632;630;11.484.618/0001-90;ZANUSO SUPERMERCADO LTDA.;RS;10.172.605;1;4;400;26;2.543.151;25.432;391.254;7;7;4;100;400;10.172.605;
633;novo;00.704.766/0001-57;P.V. SUPERMERCADO - EIRELI.;PR;10.078.951;1;9;1.000;41;1.119.883;10.079;245.828;5;4;9;111;1.000;10.078.951;
634;657;11.975.745/0001-92;LOJAS MEIRA LTDA.;RN;10.037.000;1;5;500;24;2.007.400;20.074;418.208;5;5;5;100;500;10.037.000;
635;671;10.600.376/0001-90;SUPERMERCADO TAMPINHA LTDA.;PE;10.000.000;1;6;300;20;1.666.667;33.333;500.000;3;7;6;50;300;10.000.000;
636;novo;36.564.121/0001-03;PASSOS & CARNEIRO LTDA.;PI;10.000.000;1;7;800;38;1.428.571;12.500;263.158;5;5;7;114;800;10.000.000;
637;623;03.370.838/0001-65;SUPERMERCADO PRIMUS LTDA.;MG;10.000.000;1;7;850;32;1.428.571;11.765;312.500;5;4;7;121;850;10.000.000;
638;novo;06.156.721/0001-71;PAULO MEDEIROS JUNIOR SUPERMERCADO - EPP.;SP;10.000.000;2;8;940;25;1.250.000;10.638;400.000;3;3;4;118;470;5.000.000;
639;606;03.818.158/0001-61;CONSTANTE & NASCIMENTO LTDA.;RS;9.979.414;1;5;750;19;1.995.883;13.306;525.232;4;3;5;150;750;9.979.414;
640;659;11.468.190/0001-92;SUPERMERCADO COMPRE MAIS - EIRELI.;PB;9.974.650;1;4;300;23;2.493.663;33.249;433.680;6;8;4;75;300;9.974.650;
641;643;79.845.020/0001-13;ZILIO LEONARDI LTDA.;PR;9.971.269;1;5;800;25;1.994.254;12.464;398.851;5;3;5;160;800;9.971.269;
642;658;00.980.516/0001-40;SUPERMERCADO BOM JARDIM LTDA.;MS;9.956.154;1;5;300;23;1.991.231;33.187;432.876;5;8;5;60;300;9.956.154;
643;676;26.372.879/0001-96;M - BOX SUPERMERCADO - EIRELI.;SP;9.956.017;1;4;519;26;2.489.004;19.183;382.924;7;5;4;130;519;9.956.017;
644;654;02.915.877/0001-38;PEDRO DONADIO NETO E CIA. LTDA.;MG;9.955.000;1;6;650;36;1.659.167;15.315;276.528;6;6;6;108;650;9.955.000;
645;656;04.835.000/0001-62;MOTTA & CAIRES LTDA. - ME.;SP;9.925.727;1;4;300;21;2.481.432;33.086;472.654;5;7;4;75;300;9.925.727;
646;650;04.123.627/0001-90;ANDRÉ DOS SANTOS BARBOSA & CIA. LTDA. - ME.;RS;9.837.136;1;4;600;22;2.459.284;16.395;447.143;6;4;4;150;600;9.837.136;
647;660;78.622.321/0001-15;SUPERMERCADO CAMBARÁ LTDA.;PR;9.720.000;1;5;1300;21;1.944.000;7.477;462.857;4;2;5;260;1.300;9.720.000;
648;655;06.176.202/0001-75;COMERCIAL COUTO LTDA. - ME.;BA;9.701.401;1;5;640;28;1.940.280;15.158;346.479;6;4;5;128;640;9.701.401;
649;645;22.783.520/0001-50;DA ROSA SUPERMERCADOS - EIRELI.;RS;9.686.150;1;5;220;26;1.937.230;44.028;372.544;5;12;5;44;220;9.686.150;
650;640;73.273.583/0001-06;MINIMERCADO VALVER LTDA.;RS;9.639.141;1;4;400;21;2.409.785;24.098;459.007;5;5;4;100;400;9.639.141;
651;663;00.597.773/0001-05;AGRICARNE COMERCIAL DE ALIMENTOS LTDA.;DF;9.500.000;1;3;240;28;3.166.667;39.583;339.286;9;12;3;80;240;9.500.000;
652;669;39.801.691/0001-68;K E K COMERCIAL DE CEREAIS LTDA.;ES;9.310.000;1;6;900;30;1.551.667;10.344;310.333;5;3;6;150;900;9.310.000;
653;novo;10.774.286/0003-88;PAULO FELIPHE CAVALCANTE GARCIA.;SP;9.249.000;3;9;1499;59;1.027.667;6.170;156.763;7;4;3;167;500;3.083.000;
654;687;00.484.273/0001-59;GADELHA IMPORTAÇÃO E EXPORTAÇÃO LTDA.;AC;9.148.468;1;4;720;33;2.287.117;12.706;277.226;8;5;4;180;720;9.148.468;
655;653;04.762.070/0001-38;SUPERMERCADO ALEGRIA LTDA. - EPP.;SP;9.143.629;1;6;450;25;1.523.938;20.319;365.745;4;6;6;75;450;9.143.629;
656;674;04.438.633/0001-37;CORREA SUPERMERCADO LTDA.;RS;9.112.649;1;4;436;21;2.278.162;20.901;433.936;5;5;4;109;436;9.112.649;
657;652;24.975.138/0003-36;COOPERATIVA DOS PRODUTORES RURAIS DO SERRO LTDA.;MG;9.050.303;1;6;250;21;1.508.384;36.201;430.967;4;8;6;42;250;9.050.303;
658;649;04.919.484/0001-28;PINHEIRO ALIMENTOS LTDA.;RS;9.000.000;1;4;200;25;2.250.000;45.000;360.000;6;13;4;50;200;9.000.000;
659;666;23.371.048/0001-01;ANTÔNIO MENINO DE MACEDO JÚNIOR - EIRELI - ME.;PB;9.000.000;1;6;280;25;1.500.000;32.143;360.000;4;9;6;47;280;9.000.000;
660;648;07.646.217/0001-12;DALL'AGNOL COM. DE ALIM. LTDA.;SC;9.000.000;1;6;400;31;1.500.000;22.500;290.323;5;8;6;67;400;9.000.000;
661;686;12.754.477/0001-41;SUPERMERCADO NAGAHI LTDA.;PR;9.000.000;1;5;990;20;1.800.000;9.091;450.000;4;2;5;198;990;9.000.000;
662;707;07.536.504/0001-70;FASSINE & FASSINE LTDA.;PR;8.800.000;1;5;700;20;1.760.000;12.571;440.000;4;3;5;140;700;8.800.000;
663;713;03.639.159/0001-49;SUPERMERCADO NONATÃO LTDA.;PB;8.722.474;1;4;200;20;2.180.619;43.612;436.124;5;10;4;50;200;8.722.474;
664;596;07.835.328/0001-77;PANIFICADORA FAUSTINO LTDA.;PB;8.640.000;1;4;300;24;2.160.000;28.800;360.000;6;8;4;75;300;8.640.000;
665;678;85.300.044/0001-90;SUPERMERCADO PAVAN LTDA.;SC;8.632.287;1;4;496;18;2.158.072;17.404;479.572;5;4;4;124;496;8.632.287;
666;675;03.102.032/0001-96;SUPERMERCADO CASAGRANDE LTDA. - ME.;RS;8.627.911;1;4;400;22;2.156.978;21.570;392.178;6;6;4;100;400;8.627.911;
667;novo;58.699.885/0001-49;ACIR GRANZOTTO CAETETUBA SUPERMERCADO LTDA.;SP;8.600.000;1;5;320;24;1.720.000;26.875;358.333;5;8;5;64;320;8.600.000;
668;759;50.503.572/0001-61;ALTEMIR ODILON BUZINARO.;SP;8.600.000;1;5;600;20;1.720.000;14.333;430.000;4;3;5;120;600;8.600.000;
669;701;00.468.386/0001-60;GOMES COMERCIAL DE ALIMENTOS LTDA.;PR;8.516.058;1;4;500;18;2.129.015;17.032;473.114;5;4;4;125;500;8.516.058;
670;672;07.929.783/0001-31;SUPERMERCADO GUARA EIRELI.;TO;8.500.000;1;5;600;26;1.700.000;14.167;326.923;5;4;5;120;600;8.500.000;
671;683;09.596.490/0001-05;S.M. MERCADOS LTDA.;RS;8.475.000;1;4;300;18;2.118.750;28.250;470.833;5;6;4;75;300;8.475.000;
672;691;92.603.711/0001-79;SUPERMERCADO SÃO MIGUEL E ZANELA LTDA.;RS;8.442.877;1;3;270;18;2.814.292;31.270;469.049;6;7;3;90;270;8.442.877;
673;729;01.347.167/0001-96;SUPERMERCADO SAO MIGUEL LTDA.;SE;8.400.000;1;3;200;20;2.800.000;42.000;420.000;7;10;3;67;200;8.400.000;
674;545;06.950.317/0001-75;DANIELA COLLOVINI & CIA. LTDA.;RS;8.400.000;1;4;400;23;2.100.000;21.000;365.217;6;6;4;100;400;8.400.000;
675;733;00.334.600/0001-96;VERA LUCIA FAQUINI ASSONI & CIA LTDA.;PR;8.400.000;1;4;490;20;2.100.000;17.143;420.000;5;4;4;123;490;8.400.000;
676;670;25.591.371/0001-16;ALVIM SUPERMERCADOS LTDA.;MG;8.400.000;1;4;500;27;2.100.000;16.800;311.111;7;5;4;125;500;8.400.000;
677;novo;11.679.631/0001-03;A.S ARMAZEM DE ALIMENTOS LTDA.;SC;8.400.000;1;6;500;48;1.400.000;16.800;175.000;8;10;6;83;500;8.400.000;
678;709;04.220.766/0001-32;S.W. SUPERMERCADO - EIRELI.;MG;8.245.132;1;4;400;28;2.061.283;20.613;294.469;7;7;4;100;400;8.245.132;
679;599;27.446.608/0001-09;SUPERMERCADO ROMANO LTDA.;ES;8.211.441;1;6;550;32;1.368.574;14.930;256.608;5;6;6;92;550;8.211.441;
680;novo;62.785.894/0001-20;NEI MAR PRODUTOS ALIMENTICIOS LTDA.;SP;8.200.000;1;8;2.600;40;1.025.000;3.154;205.000;5;2;8;325;2.600;8.200.000;
681;703;85.198.810/0001-57;COMERCIAL JOENI LTDA.;SC;8.106.500;1;3;400;10;2.702.167;20.266;810.650;3;3;3;133;400;8.106.500;
682;700;04.293.918/0001-27;S.J. DE LIMA TAQUARIVAÍ - EPP.;SP;8.074.442;1;5;800;24;1.614.888;10.093;336.435;5;3;5;160;800;8.074.442;
683;682;00.314.428/0001-09;ZENAIDE SANCHES FRATA - ME.;SP;8.004.000;1;6;500;22;1.334.000;16.008;363.818;4;4;6;83;500;8.004.000;
684;novo;01.379.960/0001-77;A. BELINELLI DE JESUS - EIRELI.;SP;8.000.000;1;3;240;14;2.666.667;33.333;571.429;5;6;3;80;240;8.000.000;
685;novo;01.711.104/0001-77;A.A FOLTRAN.;SP;7.891.000;1;2;250;18;3.945.500;31.564;438.389;9;7;2;125;250;7.891.000;
686;689;87.184.198/0001-99;SUPERMERCADO PRINCESA LTDA.;RS;7.842.738;1;3;350;17;2.614.246;22.408;461.338;6;5;3;117;350;7.842.738;
687;684;82.062.563/0001-79;BIGGI & SILVA LTDA.;PR;7.800.000;1;4;500;16;1.950.000;15.600;487.500;4;3;4;125;500;7.800.000;
688;711;06.081.458/0001-07;SUPERMERCADO ANDRÉA LTDA. - EPP.;RS;7.800.000;2;6;800;22;1.300.000;9.750;354.545;4;3;3;133;400;3.900.000;
689;718;40.769.416/0001-93;H. CANTALICE DE ARAUJO & CIA LTDA.;RN;7.756.284;1;6;650;17;1.292.714;11.933;456.252;3;3;6;108;650;7.756.284;
690;728;78.272.994/0001-92;SUPERMERCADO VENEZA LTDA.;SC;7.607.474;2;6;862;29;1.267.912;8.825;262.327;5;3;3;144;431;3.803.737;
691;646;01.798.851/0001-94;VAREJÃO FERNANDES LTDA.;SP;7.600.000;1;3;180;19;2.533.333;42.222;400.000;6;11;3;60;180;7.600.000;
692;704;08.255.120/0001-41;SILMELO MINIMERCADO LTDA. - ME.;SP;7.600.000;1;4;200;25;1.900.000;38.000;304.000;6;13;4;50;200;7.600.000;
693;novo;09.284.430/0001-57;COM. DE ALIM. FAEL LTDA.;PR;7.542.931;1;4;400;25;1.885.733;18.857;301.717;6;6;4;100;400;7.542.931;
694;719;69.172.187/0001-07;SUPERMERCADOS ECONÔMICO DE FRANCA LTDA.;SP;7.540.000;1;5;350;26;1.508.000;21.543;290.000;5;7;5;70;350;7.540.000;
695;novo;65.213.886/0001-05;AGROPIAO LTDA.;MG;7.500.000;1;4;450;27;1.875.000;16.667;277.778;7;6;4;113;450;7.500.000;
696;740;05.422.568/0001-14;SUPERMERCADOS CONVERSANI GUARANTÃ LTDA.;SP;7.500.000;1;5;600;20;1.500.000;12.500;375.000;4;3;5;120;600;7.500.000;
697;735;59.421.768/0001-81;MERCADINHO LAR SERVICE LTDA.;SP;7.500.000;2;6;800;33;1.250.000;9.375;227.273;6;4;3;133;400;3.750.000;
698;725;07.375.783/0001-37;JOSÉ PEREIRA OLIVEIRA - EIRELI.;PB;7.399.349;1;4;207;15;1.849.837;35.746;493.290;4;7;4;52;207;7.399.349;
699;688;10.754.699/0001-39;COMERCIAL BERLINK LTDA.;RS;7.300.589;1;4;300;20;1.825.147;24.335;365.029;5;7;4;75;300;7.300.589;
700;732;01.515.547/0001-92;SONAGLIO COMERCIAL DE ALIMENTOS LTDA.;RS;7.282.000;1;3;450;14;2.427.333;16.182;520.143;5;3;3;150;450;7.282.000;
701;712;79.527.362/0001-95;ORESTES MANOEL DO PRADO & CIA. LTDA.;SC;7.245.369;1;4;1050;16;1.811.342;6.900;452.836;4;2;4;263;1.050;7.245.369;
702;677;66.104.852/0001-37;SUPERMERCADO PANORAMA LTDA.;SP;7.200.000;1;5;390;31;1.440.000;18.462;232.258;6;8;5;78;390;7.200.000;
703;696;02.616.556/0001-32;CALIFÓRNIA COMÉRCIO DE ALIMENTOS LTDA.;BA;7.200.000;1;4;400;30;1.800.000;18.000;240.000;8;8;4;100;400;7.200.000;
704;908;00.436.491/0001-18;MACRO ZARTTI IND. COM. LTDA.;RS;7.200.000;1;5;750;28;1.440.000;9.600;257.143;6;4;5;150;750;7.200.000;
705;685;04.821.550/0001-22;J.L. DELAZERI & CIA. LTDA.;RS;7.200.000;2;4;450;25;1.800.000;16.000;288.000;6;6;2;113;225;3.600.000;
706;novo;02.362.146/0001-02;DEVALDO PEDROSA SUPERMERCADO. ;PR;7.160.575;1;4;900;15;1.790.144;7.956;477.372;4;2;4;225;900;7.160.575;
707;714;10.625.138/0001-30;LAIDEXS SUPERMERCADOS - EIRELI.;RS;7.095.859;1;4;480;24;1.773.965;14.783;295.661;6;5;4;120;480;7.095.859;
708;760;78.319.720/0001-01;J.M.S. SUPERMERCADO LTDA.;SC;7.079.835;1;3;500;18;2.359.945;14.160;393.324;6;4;3;167;500;7.079.835;
709;717;00.565.974/0001-12;TRAZZI E ESPINOSA LTDA.;MS;7.000.000;2;7;600;39;1.000.000;11.667;179.487;6;7;4;86;300;3.500.000;
710;757;00.270.715/0001-64;L & R SUPERMERCADO LTDA.;SP;6.900.000;1;4;400;20;1.725.000;17.250;345.000;5;5;4;100;400;6.900.000;
711;773;01.006.014/0001-85;COOPERATIVA AGROPECUÁRIA MISTA DE BELA VISTA DE GOIÁS.;GO;6.831.836;1;3;190;17;2.277.279;35.957;401.873;6;9;3;63;190;6.831.836;
712;723;00.492.209/0001-10;SUPERMERCADO ZARDIN LTDA.;RS;6.662.236;1;4;390;17;1.665.559;17.083;391.896;4;4;4;98;390;6.662.236;
713;novo;05.613.939/0001-45;SUPERMERCADO MAGAZINE BOA SORTE LTDA.;PB;6.599.860;1;3;300;14;2.199.953;22.000;471.419;5;5;3;100;300;6.599.860;
714;novo;10.353.686/0001-58;SUPERMERCADO SPEROTTO TITON - EIRELI.;RS;6.549.891;1;3;220;11;2.183.297;29.772;595.445;4;5;3;73;220;6.549.891;
715;751;90.369.075/0001-37;MINIMERCADO DA PANDIA LTDA.;RS;6.493.072;1;4;250;18;1.623.268;25.972;360.726;5;7;4;63;250;6.493.072;
716;744;00.406.523/0001-32;PAULO ROBERTO GRIJO - EPP.;SP;6.409.075;1;4;300;22;1.602.269;21.364;291.322;6;7;4;75;300;6.409.075;
717;768;27.256.265/0001-01;SUPER DA CASA LTDA.;RS;6.392.513;1;3;320;17;2.130.838;19.977;376.030;6;5;3;107;320;6.392.513;
718;novo;80.545.254/0001-24;L.JOHANN & CIA LTDA.;PR;6.331.829;1;4;800;18;1.582.957;7.915;351.768;5;2;4;200;800;6.331.829;
719;720;16.929.165/0001-82;HAG MERCADOS LTDA.;RS;6.231.071;3;7;380;48;890.153;16.398;129.814;7;13;2;54;127;2.077.024;
720;762;08.733.015/0001-70;SUPERMERCADO MANICOBAL LTDA.;PE;6.228.924;1;3;700;14;2.076.308;8.898;444.923;5;2;3;233;700;6.228.924;
721;722;16.404.261/0001-07;COMERCIAL DE ALIMENTOS PARAGUAI LTDA.;BA;6.213.927;1;3;360;12;2.071.309;17.261;517.827;4;3;3;120;360;6.213.927;
722;758;02.050.200/0001-84;BRIZOLARI & FORMENTON LTDA. - ME;SP;6.100.000;1;4;700;17;1.525.000;8.714;358.824;4;2;4;175;700;6.100.000;
723;766;68.544.857/0001-06;SUPERMERCADO KÁTIA E KARLA LTDA. - EPP;MG;6.079.187;1;3;240;20;2.026.396;25.330;303.959;7;8;3;80;240;6.079.187;
724;774;11.450.859/0001-19;MERCADO JOÃO COSTA LTDA.- ME;SC;6.033.000;1;3;300;12;2.011.000;20.110;502.750;4;4;3;100;300;6.033.000;
725;710;03.218.818/0001-73;IONE GONÇALVES DE SOUZA MENDES - ME - EPP;MG;6.000.000;1;4;300;25;1.500.000;20.000;240.000;6;8;4;75;300;6.000.000;
726;731;82.961.723/0001-11;SUPERMERCADO RANSAN LTDA.;SC;6.000.000;1;3;360;15;2.000.000;16.667;400.000;5;4;3;120;360;6.000.000;
727;765;35.999.150/0001-35;SUPERMERCADO BRAVIM LTDA. ME.;ES;6.000.000;1;4;600;20;1.500.000;10.000;300.000;5;3;4;150;600;6.000.000;
728;819;04.991.306/0001-08;MERCADO CARBONERA LTDA.;RS;6.000.000;1;5;1.300;14;1.200.000;4.615;428.571;3;1;5;260;1.300;6.000.000;
729;827;04.678.385/0001-00;AMIGÃO SUPER COMÉRCIO DE ALIMENTOS - EIRELI;PR;6.000.000;1;4;1.500;18;1.500.000;4.000;333.333;5;1;4;375;1.500;6.000.000;
730;748;09.144.292/0001-00;COMERCIAL PAVONE LTDA. ME.;MG;6.000.000;2;7;750;32;857.143;8.000;187.500;5;4;4;107;375;3.000.000;
731;novo;46.471.744/0001-95;SUPERMERCADO SOZIN LTDA.;SP;5.900.000;1;4;350;20;1.475.000;16.857;295.000;5;6;4;88;350;5.900.000;
732;788;00.017.669/0001-96;V. S. PRADO & CIA. LTDA.;SP;5.887.000;1;3;700;21;1.962.333;8.410;280.333;7;3;3;233;700;5.887.000;
733;761;24.293.680/0001-47;ALVES E GONÇALVES LTDA. - EPP;PB;5.864.000;1;4;600;14;1.466.000;9.773;418.857;4;2;4;150;600;5.864.000;
734;743;01.732.653/0001-28;ALCÉLIA RODRIGUES LEITE - EPP;PB;5.845.478;1;4;240;12;1.461.370;24.356;487.123;3;5;4;60;240;5.845.478;
735;813;10.529.618/0001-05;EVERARDO CABRAL RABELO ME;CE;5.805.595;1;4;300;16;1.451.399;19.352;362.850;4;5;4;75;300;5.805.595;
736;764;17.879.416/0001-24;SIMÃO BARBOSA ALVES -ME;PB;5.800.000;1;3;220;16;1.933.333;26.364;362.500;5;7;3;73;220;5.800.000;
737;769;02.769.967/0001-68;ELÓI CARLOS WEBER - EPP;RS;5.800.000;1;3;300;15;1.933.333;19.333;386.667;5;5;3;100;300;5.800.000;
738;752;02.938.698/0001-16;MINIMERCADO SUPERBEM LTDA.;RS;5.800.000;1;4;420;11;1.450.000;13.810;527.273;3;3;4;105;420;5.800.000;
739;756;03.225.320/0001-38;SUPERMERCADO ERVAL GRANDE LTDA.;RS;5.800.000;1;4;712;12;1.450.000;8.146;483.333;3;2;4;178;712;5.800.000;
740;742;05.472.109/0001-45;R. R. KIRSCH & CIA. LTDA.;RS;5.796.000;1;3;750;16;1.932.000;7.728;362.250;5;2;3;250;750;5.796.000;
741;792;88.873.377/0001-04;I. LAZZARETTI - EPP;RS;5.715.596;1;3;440;14;1.905.199;12.990;408.257;5;3;3;147;440;5.715.596;
742;745;07.773.491/0001-52;COMERCIAL DE ALIMENTOS MILÊNIO - EIRELI;SC;5.700.000;1;3;160;11;1.900.000;35.625;518.182;4;7;3;53;160;5.700.000;
743;778;90.050.956/0001-90;WILMA L M BASEGGIO & CIA. LTDA.;RS;5.620.000;1;3;580;10;1.873.333;9.690;562.000;3;2;3;193;580;5.620.000;
744;737;88.682.240/0001-64;SUPERMERCADO BORTOLON LTDA.;RS;5.600.000;1;5;1.000;10;1.120.000;5.600;560.000;2;1;5;200;1.000;5.600.000;
745;novo;01.781.244/0001-11;ADÃO EUCLESIO RIBEIRO SOARES LTDA.;GO;5.500.000;1;3;200;17;1.833.333;27.500;323.529;6;9;3;67;200;5.500.000;
746;797;02.675.085/0001-33;SUPERMERCADO ITACOLOMY LTDA.;MG;5.500.000;1;3;520;16;1.833.333;10.577;343.750;5;3;3;173;520;5.500.000;
747;novo;04.705.873/0001-50;SUPERMERCADO LEDROS LTDA.;MG;5.482.411;1;4;750;26;1.370.603;7.310;210.862;7;3;4;188;750;5.482.411;
748;802;04.776.468/0001-23;COMÉRCIO DE ALIMENTOS IRMÃOS BARRIM LTDA.;SC;5.400.000;1;3;380;12;1.800.000;14.211;450.000;4;3;3;127;380;5.400.000;
749;726;05.441.689/0001-03;COMERCIAL DE MERCADORIA S & H - EIRELI;SE;5.400.000;1;3;500;27;1.800.000;10.800;200.000;9;5;3;167;500;5.400.000;
750;780;02.597.559/0001-76;SUPERMERCADO LUNARDELLI LTDA.;RS;5.311.017;1;4;688;11;1.327.754;7.720;482.820;3;2;4;172;688;5.311.017;
751;novo;00.141.502/0001-32;RIBA DISTRIBUIDORA DE ALIMENTOS LTDA.;RS;5.300.457;1;3;600;22;1.766.819;8.834;240.930;7;4;3;200;600;5.300.457;
752;novo;73.862.500/0001-06;GASPERINI & CIA. LTDA.;PR;5.300.449;1;4;900;20;1.325.112;5.889;265.022;5;2;4;225;900;5.300.449;
753;767;59.506.907/0001-70;ADEMIR TEIXEIRA DUARTE & CIA. LTDA.;SP;5.245.000;1;5;500;17;1.049.000;10.490;308.529;3;3;5;100;500;5.245.000;
754;772;17.763.467/0001-96;COMERCIAL MARYSE LTDA.;MG;5.203.000;1;5;500;11;1.040.600;10.406;473.000;2;2;5;100;500;5.203.000;
755;763;05.243.983/0001-00;MILANEZI E LOPES LTDA.;RS;5.048.262;1;2;250;14;2.524.131;20.193;360.590;7;6;2;125;250;5.048.262;
756;novo;61.696.803/0001-17;PERRONE PERRONE LTDA.;SP;5.000.000;1;4;400;16;1.250.000;12.500;312.500;4;4;4;100;400;5.000.000;
757;834;72.634.298/0001-00;SUPERMERCADO PREDIGER LTDA.;DF;5.000.000;1;3;450;20;1.666.667;11.111;250.000;7;4;3;150;450;5.000.000;
758;novo;00.689.222/0001-63;AC BARBOSA CARAGUATATUBA - ME;SP;5.000.000;1;5;450;20;1.000.000;11.111;250.000;4;4;5;90;450;5.000.000;
759;775;46.099.354/0001-36;IRMÃS VIEL LTDA.;SP;5.000.000;1;3;500;15;1.666.667;10.000;333.333;5;3;3;167;500;5.000.000;
760;705;06.315.648/0001-33;M. A. BAGGIO SERAPHIM & CIA. LTDA.;PR;5.000.000;1;4;500;12;1.250.000;10.000;416.667;3;2;4;125;500;5.000.000;
761;814;23.148.568/0001-50;BRUNO DELAZARI LANG - ME;RS;4.960.293;1;2;248;11;2.480.147;20.001;450.936;6;4;2;124;248;4.960.293;
762;779;10.018.117/0004-07;ARMAZÉM LACERDA LTDA.;PE;4.948.897;1;3;398;14;1.649.632;12.434;353.493;5;4;3;133;398;4.948.897;
763;796;88.692.314/0001-43;SUPERMERCADO FLACH LTDA. - EPP;RS;4.802.440;1;3;290;14;1.600.813;16.560;343.031;5;5;3;97;290;4.802.440;
764;novo;19.222.309/0001-54;SUPERMERCADO SACKSER & GOMES LTDA. - EPP;RS;4.800.000;1;3;300;11;1.600.000;16.000;436.364;4;4;3;100;300;4.800.000;
765;824;01.898.277/0001-46;MERCADO SANTO ANDRÉ LTDA.;SC;4.800.000;1;3;450;13;1.600.000;10.667;369.231;4;3;3;150;450;4.800.000;
766;727;08.695.076/0001-90;SUPERMERCADO PONTUAL LTDA.;MG;4.800.000;1;4;500;16;1.200.000;9.600;300.000;4;3;4;125;500;4.800.000;
767;novo;09.472.928/0001-43;P. ARAGAKI SUPERMERCADO LTDA. ME;SP;4.800.000;2;9;630;40;533.333;7.619;120.000;4;6;5;70;315;2.400.000;
768;776;26.281.923/0001-52;SUPERMERCADOS MAGALHÃES - EIRELI - EPP;MG;4.600.000;1;3;530;18;1.533.333;8.679;255.556;6;3;3;177;530;4.600.000;
769;799;45.325.503/0001-75;PERA & CIA. LTDA.;SP;4.600.000;1;3;600;5;1.533.333;7.667;920.000;2;1;3;200;600;4.600.000;
770;novo;58.860.875/0001-43;A ANDREETA & CIA. LTDA.;SP;4.537.224;1;3;350;11;1.512.408;12.963;412.475;4;3;3;117;350;4.537.224;
771;novo;04.941.895/0001-10;A. N. SUPERMERCADO LTDA;RJ;4.500.000;1;3;300;11;1.500.000;15.000;409.091;4;4;3;100;300;4.500.000;
772;781;01.507.242/0001-39;BORTOLIN COMÉRCIO DE ALIMENTOS LTDA.;MS;4.500.000;1;3;400;10;1.500.000;11.250;450.000;3;3;3;133;400;4.500.000;
773;794;11.895.984/0001-32;MARIA GORETTE CASIMIRO DE ANDRADE & CIA. LTDA.;PB;4.290.000;1;3;390;10;1.430.000;11.000;429.000;3;3;3;130;390;4.290.000;
774;801;20.171.906/0001-86;SUPERMERCADO DEL LAR LTDA.;MG;4.254.648;1;4;300;16;1.063.662;14.182;265.916;4;5;4;75;300;4.254.648;
775;786;01.802.003/0001-01;JANER CÉSAR SHINOHARA DE ALMEIDA;MS;4.200.000;1;5;690;17;840.000;6.087;247.059;3;2;5;138;690;4.200.000;
776;791;21.614.570/0001-41;ROSÂNGELA PINTO DA GAMA - EPP;SP;4.200.000;2;3;220;10;1.400.000;19.091;420.000;3;5;2;73;110;2.100.000;
777;808;72.532.302/0001-11;SUPERMERCADO EDNA LTDA. -  EPP;SC;4.135.480;1;3;300;10;1.378.493;13.785;413.548;3;3;3;100;300;4.135.480;
778;838;19.540.501/0001-99;MERCADO BRAMBILA LTDA. - EPP;RS;4.129.780;2;4;240;16;1.032.445;17.207;258.111;4;7;2;60;120;2.064.890;
779;821;28.015.703/0001-02;SAFFRA IRMÃOS FINK FABER LTDA.;RS;4.000.000;1;3;300;9;1.333.333;13.333;444.444;3;3;3;100;300;4.000.000;
780;817;01.433.943/0001-70;JEAN CARLOS JALES DINIZ - ME;RN;4.000.000;1;5;300;15;800.000;13.333;266.667;3;5;5;60;300;4.000.000;
781;803;29.978.980/0001-83;SUPERMERCADO ITAPUÃ LTDA.;RS;4.000.000;1;4;400;12;1.000.000;10.000;333.333;3;3;4;100;400;4.000.000;
782;716;08.531.723/0001-29;ÁLVARO PEREIRA DE NOVAES;BA;4.000.000;2;4;320;12;1.000.000;12.500;333.333;3;4;2;80;160;2.000.000;
783;738;94.267.929/0001-25;COMÉRCIO DE MIUDEZAS SANTIAGO LTDA. - ME;RS;3.950.997;1;2;320;6;1.975.499;12.347;658.500;3;2;2;160;320;3.950.997;
784;812;00.013.026/0001-74;MERCADO REMAX LTDA.;SP;3.900.000;1;4;200;11;975.000;19.500;354.545;3;6;4;50;200;3.900.000;
785;826;64.071.517/0001-54;JACIRA PILON MAGURNO E CIA. LTDA. - EPP;SP;3.800.000;1;3;200;12;1.266.667;19.000;316.667;4;6;3;67;200;3.800.000;
786;800;03.956.452/0001-30;MINIMERCADO E PADARIA EMBAIXADOR LTDA. - EPP;RS;3.788.000;1;2;120;15;1.894.000;31.567;252.533;8;13;2;60;120;3.788.000;
787;novo;35.588.391/0001-91;JOACIL PAREIRA GOMES - ME;PB;3.723.420;1;2;170;12;1.861.710;21.902;310.285;6;7;2;85;170;3.723.420;
788;681;94.919.354/0001-88;BEIJAMIM STEFEN SONAGLIO - ME;RS;3.720.000;1;4;500;16;930.000;7.440;232.500;4;3;4;125;500;3.720.000;
