CLASS_2021;CLASS_2020;CNPJ;Razão Social;Sede;Faturamento Bruto em 2020 (R$);Nº de lojas;Nº de check-outs;Área de venda;Nº de funcionários;Fat._CKT_ 2020;Fat._M2_2020;Fat._Func._2020;Func._CKT_2020;Func._M2_2020;CKT_Loja_2020;M2_CKT_2020;M2_Loja_2020;Fat._Loja_ 2020;
15;14;05.868.574/0001-08;COMERCIAL ZARAGOZA IMP. EXP. LTDA.;SP;3.320.041.857;37;777;125.900;4.866;4.272.898;26.370;682.294;6;4;21;162;3.403;89.730.861;
16;20;02.831.172/0001-32;KOCH HIPERMERCADO S.A.;SC;3.190.523.850;34;689;87.854;4.552;4.630.659;36.316;700.906;7;5;20;128;2.584;93.838.937;
17;16;17.745.613/0001-50;SUPERMERCADO BAHAMAS S.A.;MG;3.092.253.539;63;947;123.338;9.092;3.265.315;25.071;340.107;10;7;15;130;1.958;49.083.390;
18;17;11.517.841/0001-97;COMPANHIA SULAMERICANA DE DISTRIBUIÇÃO;PR;3.001.391.033;59;995;99.565;7.433;3.016.473;30.145;403.793;7;7;17;100;1.688;50.871.034;
19;13;83.646.984/0006-14;A. ANGELONI E CIA LTDA.;SC;2.969.740.692;33;675;116.535;6.902;4.399.616;25.484;430.272;10;6;20;173;3.531;89.992.142;
20;15;10.319.375/0001-72;MULTI FORMATO DISTRIBUIDORA S.A.;MG;2.953.856.263;51;592;79.212;7.405;4.989.622;37.291;398.900;13;9;12;134;1.553;57.918.750;
Total  20 Maiores;;;;;242.455.180.682;3.147;21.420;7.336.354;419.438;11.319.103;33.048;578.048;20;6;7;343;2.331;77.043.273;
21;21;73.849.952/0001-58;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A.;BA;2.687.885.490;22;672;83.596;5.600;3.999.830;32.153;479.980;8;7;31;124;3.800;122.176.613;
22;18;57.508.426/0001-78;COOP - COOPERATIVA DE CONSUMO.;SP;2.618.167.963;32;583;72.571;5.775;4.490.854;36.077;453.362;10;8;18;124;2.268;81.817.749;
23;19;83.648.477/0001-05;GIASSI E CIA. LTDA.;SC;2.416.049.542;19;578;84.272;6.141;4.180.017;28.670;393.429;11;7;30;146;4.435;127.160.502;
24;22;60.494.416/0001-35;PAGUE MENOS COM. DE PROD. ALIM. LTDA.;SP;2.305.400.000;29;572;68.729;5.950;4.030.420;33.543;387.462;10;9;20;120;2.370;79.496.552;
25;24;24.367.255/0001-55;GMGB HOLDING E PARTICIPAÇÕES LTDA. (SUPERMERCADOS MAMBO );SP;2.154.074.960;18;332;56.985;3.027;6.488.178;37.801;711.620;9;5;18;172;3.166;119.670.831;
26;26;03.083.231/0007-90;CEMA CENTRAL MINEIRA ATACADISTA LTDA.;MG;1.856.475.783;24;404;86.950;3.698;4.595.237;21.351;502.022;9;4;17;215;3.623;77.353.158;
27;25;07.718.633/0001-89;UNIDASUL DISTRIBUIDORA ALIMENTÍCIA S.A.;RS;1.848.575.417;44;449;52.371;5.333;4.117.094;35.298;346.630;12;10;10;117;1.190;42.013.078;
